GO NO,ARREST BOOKING NO_PK,PIN,AGE,SEX,RACE,ETHNICITY,ARREST DATE,ARREST TIME,BT,ARREST REASON,ARREST TYPE,SUMMARY OF FACTS,ARREST OFFICER,ARREST OFFICER NAME,CURRENT STATUS,YOUNG OFFENDER?
SJ2020200340364,SJ202014358,441919082,32,M,W,W,10/1/2020,1145,V1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),,,CITED,N
SJ2020201410577,SJ202014360,442233540,19,M,H,H,10/1/2020,1200,V1,CRIMINAL CITATION,SUMMONED/CITED,BRANDISHING A FIREARM (CITE),,,CITED,N
SJ2020201700450,SJ202014747,442028016,27,F,B,B,10/1/2020,1450,V1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),,,CITED,N
SJ2020201900714,SJ202014236,441737700,25,M,H,H,10/1/2020,100,R4,ON VIEW,ON VIEW ARREST,ROBBERY (ONVW),,,CHARGED/BOOKED,N
SJ2020202720852,SJ202014366,441829881,29,F,H,H,10/1/2020,1329,M1,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),4344,ALLEN,CHARGED/BOOKED,N
SJ2020202720852,SJ202014365,442050913,30,M,H,H,10/1/2020,1329,M1,ON VIEW,ON VIEW ARREST,BUYS OR RECEIVES STOLEN VEHICLE-VESSEL-ETC (ONVW),4571,DOAN,CHARGED/BOOKED,N
SJ2020202740130,SJ202015816,441964537,27,M,H,H,10/1/2020,1350,X4,ON VIEW,ON VIEW ARREST,INFLICT CORPORAL INJ SPOUSE/COHAB (ONVW),4386,BALALA,CHARGED/BOOKED,N
SJ2020202740349,SJ202014433,442276896,34,M,H,H,10/1/2020,845,W1,ON VIEW,ON VIEW ARREST,POSSESS/CONTROLL MATTER DEPICTING PERSON UNDER AGE 18 IN SEX A (ONVW),,,CHARGED/BOOKED,N
SJ2020202741028,SJ202014233,441964104,58,M,O,O,10/1/2020,1,M1,ON VIEW,ON VIEW ARREST,INFLICT CORPORAL INJ SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2020202741053,SJ202014419,441828135,30,M,H,H,10/1/2020,10,F5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4833,PADILLA NAVARIJO,CITED,N
SJ2020202750001,SJ202014420,442276908,20,M,O,O,10/1/2020,108,V1,ON VIEW,ON VIEW ARREST,DUI ALCOHOL/DRUGS (ONVW),,,CHARGED/BOOKED,N
SJ2020202750010,SJ202014220,441825325,27,M,H,H,10/1/2020,31,L1,ON VIEW,ON VIEW ARREST,POSSESSION OF A DIRK OR DAGGER (ONVW),,,CHARGED/BOOKED,N
SJ2020202750029,SJ202014201,441787689,48,M,B,B,10/1/2020,127,N4,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),,,CHARGED/BOOKED,N
SJ2020202750039,SJ202014239,221053462,43,M,H,H,10/1/2020,107,,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4817,SOLAS,CITED,N
SJ2020202750047,SJ202014221,442276729,44,M,B,B,10/1/2020,229,X1,ON VIEW,ON VIEW ARREST,UNLAWFUL/MALICIOUS REMOVAL/INJURY/DESTRUCTION TO COMMUNIC. DEV (ONVW),,,CHARGED/BOOKED,N
SJ2020202750053,SJ202014259,442276762,26,M,B,B,10/1/2020,116,Y4,ON VIEW,ON VIEW ARREST,POSSESSION FOR SALE OR PURCHASE FOR PURPOSE OF SALE OF A CONTR (ONVW),,,CHARGED/BOOKED,N
SJ2020202750084,SJ202014283,316604930,41,M,H,H,10/1/2020,224,C3,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),,,CHARGED/BOOKED,N
SJ2020202750089,SJ202014540,441987984,26,M,H,H,10/1/2020,241,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4892,GOTTWALS,CITED,N
SJ2020202750095,SJ202014351,441889198,44,M,W,W,10/1/2020,226,L1,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),,,CHARGED/BOOKED,N
