INCIDENT NO,RPT DATE,RPT TIME,INCIDENT TYPE DESCRIPTION
202689714,10/1/2020,1404,243.4 PC BATTERY SEXUAL
202689715,10/1/2020,1458,288(A) PC L&L W/ UNDER 14YRS
202689716,10/1/2020,1751,273AB PC CHLD ABUSE NOT AGG
202740858,10/1/2020,1833,11364 HS DRUG PARAPHERNALIA
202750001,10/1/2020,0001,23152A VC DUI ALCOHOL/DRUGS
202750009,10/1/2020,0014,STOP INFO ONLY
202750010,10/1/2020,0015,12020(A)PC POSN DANGEROUS WEAP
202750015,10/1/2020,0022,5150 WI 72 HR MENTAL HOLD
202750029,10/1/2020,0028,148(A)(1) PC RESIST ARREST
202750039,10/1/2020,0042,11364 HS DRUG PARAPHERNALIA
202750040,10/1/2020,0043,INFORMATION ONLY
202750042,10/1/2020,0304,10851R OUTSIDE AGENCY RECOVERY
202750047,10/1/2020,0052,OTHER MISDEMEANOR
202750053,10/1/2020,0101,29800 PC ADDICT/FEL POSN WEAP
202750083,10/1/2020,0153,273.6APC DV RESTRAIN ORD VIOL
202750084,10/1/2020,0154,530.5 PC IDENTITY THEFT
202750089,10/1/2020,0202,11377(A) HS POSN CNTRLD SUBS
202750095,10/1/2020,0226,12020(A)PC POSN DANGEROUS WEAP
202750097,10/1/2020,0229,290(B) PC SEX FAIL TO REG/FEL
202750100,10/1/2020,0831,485 PC APPROPRIATE LOST PROP
202750103,10/1/2020,0241,245A1 PC ASSAULT W/O FIREARM
202750118,10/1/2020,0328,5150 WI 72 HR MENTAL HOLD
202750125,10/1/2020,0346,245A1 PC ASSAULT W/O FIREARM
202750130,10/1/2020,0730,30305 PC FELON POSN AMMO/FEL
202750136,10/1/2020,0425,417(A)(1) PC BRANDISH WEAPON
202750137,10/1/2020,0426,4060 BP POSN W/O PRESCRIPTION
202750153,10/1/2020,0651,594 PC VANDALISM-$400 OR MORE
202750158,10/1/2020,0548,1181 VEH ACCIDENT-MINOR INJURY
202750159,10/1/2020,0550,459 PC BURGLARY VEHICLE>$950
202750170,10/1/2020,0640,23152B VC DUI ALCOHOL .08%
202750171,10/1/2020,0635,459 PC BURG SCHOOL-FORCE
202750173,10/1/2020,0624,WARRANT & FUGITIVE
202750174,10/1/2020,0641,1181 VEH ACCIDENT-MINOR INJURY
202750190,10/1/2020,0745,484PC PETTY THEFT OTHER
202750195,10/1/2020,0755,10851(A) VC VEHICLE THEFT
202750198,10/1/2020,0823,10851R OUTSIDE AGENCY RECOVERY
202750200,10/1/2020,0802,273.5(A) PC DV MINOR INJURY
202750202,10/1/2020,0807,10851(A) VC VEHICLE THEFT
202750203,10/1/2020,0930,10851(A) VC VEHICLE THEFT
202750210,10/1/2020,0904,459 PC BURG SCHOOL-FORCE
202750211,10/1/2020,0818,211 PC ROBBERY ARMED
202750214,10/1/2020,0818,10851(A) VC VEHICLE THEFT
202750218,10/1/2020,0825,273AB PC CHLD ABUSE NOT AGG
202750225,10/1/2020,0836,20002VC HIT AND RUN-PROP DMG
202750228,10/1/2020,0838,459 PC BURGLARY VEHICLE>$950
202750229,10/1/2020,0844,459 PC BURGLARY VEHICLE<$950
202750231,10/1/2020,1223,148(A)(1) PC RESIST ARREST
202750258,10/1/2020,0919,10851(A) VC VEHICLE THEFT
202750287,10/1/2020,0954,594 PC VANDALISM-$400 OR MORE
202750289,10/1/2020,1248,459 PC BURG RESD-FORCE
202750294,10/1/2020,1005,STOLEN PLATE
202750300,10/1/2020,1248,5150 WI 72 HR MENTAL HOLD
202750311,10/1/2020,1022,273.5(A) PC DV MINOR INJURY
202750327,10/1/2020,1037,PROPERTY FOUND-GENERAL
202750328,10/1/2020,1037,459 PC BURGLARY VEHICLE>$950
202750332,10/1/2020,1100,INFORMATION ONLY
202750344,10/1/2020,1052,487 PC GRAND THEFT OTHER
202750346,10/1/2020,1057,10851(A) VC VEHICLE THEFT
202750348,10/1/2020,1104,2800.2(A) VC EVADING RECKLESS
202750353,10/1/2020,1103,INFORMATION ONLY
202750363,10/1/2020,1205,11550(A)HS UNDR INFL CNTRL SUB
202750377,10/1/2020,1135,10851R OUTSIDE AGENCY RECOVERY
202750383,10/1/2020,1140,11364 HS DRUG PARAPHERNALIA
202750394,10/1/2020,1151,484PC PETTY THEFT SHOPLIFT<950
202750404,10/1/2020,1332,10851(A) VC VEHICLE THEFT
202750410,10/1/2020,1215,459 PC BURG RESD-FORCE
202750415,10/1/2020,1219,273.6APC DV RESTRAIN ORD VIOL
202750417,10/1/2020,1225,1181 VEH ACCIDENT-MINOR INJURY
202750420,10/1/2020,1321,10851(A) VC VEHICLE THEFT
202750423,10/1/2020,1240,10851(A) VC VEHICLE THEFT
202750425,10/1/2020,1236,215(A) PC ROBBERY CARJACKING
202750426,10/1/2020,1245,11377(A) HS POSN CNTRLD SUBS
202750429,10/1/2020,1241,10851(A) VC VEHICLE THEFT
202750430,10/1/2020,1240,10851(A) VC VEHICLE THEFT
202750437,10/1/2020,2120,459 PC BURGLARY VEHICLE<$950
202750439,10/1/2020,1249,273.5(A) PC DV MINOR INJURY
202750465,10/1/2020,1459,215(A) PC ROBBERY CARJACKING
202750471,10/1/2020,1330,484PC PETTY THEFT OTHER
202750472,10/1/2020,1330,273.6APC DV RESTRAIN ORD VIOL
202750475,10/1/2020,1334,459 PC BURG RESD-FORCE
202750490,10/1/2020,2107,10851(A) VC VEHICLE THEFT
202750496,10/1/2020,1356,5150 WI 72 HR MENTAL HOLD
202750513,10/1/2020,1418,459 PC BURG RESD-NO FORCE
202750516,10/1/2020,1422,243.4 PC BATTERY SEXUAL
202750528,10/1/2020,1540,422 PC CRIMINAL THREATS
202750529,10/1/2020,1630,20002VC HIT AND RUN-PROP DMG
202750546,10/1/2020,1458,484PC PETTY THEFT SHOPLIFT<950
202750549,10/1/2020,1515,1065A MISSING ADULT
202750552,10/1/2020,1507,459 PC BURGLARY VEHICLE>$950
202750563,10/1/2020,0300,290(B) PC SEX FAIL TO REG/FEL
202750570,10/1/2020,1600,SUSPICIOUS CIRCUMSTANCES
202750581,10/1/2020,1538,459 PC BURG RESD-NO FORCE
202750589,10/1/2020,1608,10851R OUTSIDE AGENCY RECOVERY
202750596,10/1/2020,1552,1065A MISSING ADULT
202750603,10/1/2020,1605,594 PC VANDALISM-<$400
202750613,10/1/2020,1614,5150 WI 72 HR MENTAL HOLD
202750614,10/1/2020,1615,1181 VEH ACCIDENT-MINOR INJURY
202750620,10/1/2020,1628,211 PC ROBBERY STRONG-ARM
202750627,10/1/2020,1632,11364 HS DRUG PARAPHERNALIA
202750631,10/1/2020,1637,245A1 PC ASSAULT W/O FIREARM
202750633,10/1/2020,1640,1181 VEH ACCIDENT-MINOR INJURY
202750636,10/1/2020,2035,10851(A) VC VEHICLE THEFT
202750638,10/1/2020,2319,DOMESTIC-422 PC CRIM THREATS
202750642,10/1/2020,1653,10851(A) VC VEHICLE THEFT
202750643,10/1/2020,1653,417(A)(2) PC BRANDISH FIREARM
202750649,10/1/2020,1655,STOP INFO ONLY
202750658,10/1/2020,1705,SUSPICIOUS CIRCUMSTANCES
202750695,10/1/2020,1731,243(E)(1) PC BATTERY DOMESTIC
202750704,10/1/2020,2218,1182 VEH ACCIDENT-PROPERTY DMG
202750723,10/1/2020,1755,10851(A) VC VEHICLE THEFT
202750737,10/1/2020,1807,STOLEN PLATE
202750741,10/1/2020,1820,602 PC TRESPASSING
202750754,10/1/2020,2054,487 PC GRAND THEFT OTHER
202750756,10/1/2020,1840,273.5(A) PC DV SBI OR WEAPON
202750769,10/1/2020,1837,10851(A) VC VEHICLE THEFT
202750773,10/1/2020,1835,20002VC HIT AND RUN-PROP DMG
