ARREST LOCATION,Formatted,lat,lon
ROBERTS AV / PHELAN AV,"Phelan Ave & Roberts Ave, San Jose, CA 95122, USA",37.3209099,-121.8515406
1300 BLOCK SENTER RD,"1300 Senter Rd, San Jose, CA 95112, USA",37.3253815,-121.8629629
ROBERTS AV / STORY RD,"Story Rd & Roberts Ave, San Jose, CA 95122, USA",37.3288821,-121.8595256
S 10TH ST / MARGARET ST,"S 10th St & Margaret St, San Jose, CA 95112, USA",37.3300325,-121.8730841
BLOSSOM HILL RD / FARMHOUSE CT,"Blossom Hill Rd & Farmhouse Ct, San Jose, CA 95123, USA",37.2506237,-121.8488806
BLOSSOM HILL RD / SANCHEZ DR,"Sanchez Dr & Blossom Hill Rd, San Jose, CA 95123, USA",37.2506605,-121.8713791
NEVADA AV / BIRD AV,"Nevada Ave & Bird Ave., San Jose, CA 95125, USA",37.3044961,-121.8882444
2100 BLOCK LIMEWOOD DR,"2100 Limewood Dr, San Jose, CA 95132, USA",37.4159547,-121.8693585
HOSTETTER RD / WALKINGSHAW WY,"Walkingshaw Way & Hostetter Rd, San Jose, CA 95132, USA",37.4036144,-121.8599653
GOLF DR / PELLEAS LN,"Pelleas Ln & Golf Dr, San Jose, CA 95127, USA",37.3844978,-121.8371596
BERRYESSA RD / N CAPITOL AV,"Berryessa Rd & N Capitol Ave, San Jose, CA 95132, USA",37.3866989,-121.8605157
1500 BLOCK S KING RD,"1500 S King Rd, San Jose, CA 95122, USA",37.3348509,-121.8377764
WILLOW ST / LELONG ST,"Willow St & Lelong St, San Jose, CA 95125, USA",37.3150966,-121.8885333
MARTHA ST / S 1ST ST,"Martha St & S First St, San Jose, CA 95110, USA",37.3227126,-121.8803153
S 1ST ST / MARTHA ST,"Martha St & S First St, San Jose, CA 95110, USA",37.3227126,-121.8803153
2000 BLOCK MCLAUGHLIN AV,"2000 McLaughlin Ave, San Jose, CA 95122, USA",37.3216121,-121.8426971
BLOSSOM HILL RD / ALMADEN EX,"Blossom Hill Rd & Almaden Expy, San Jose, CA 95118, USA",37.2509041,-121.8754524
E JULIAN ST / N 4TH ST,"E Julian St & N 4th St, San Jose, CA 95112, USA",37.3420545,-121.8906812
N 7TH ST / E MISSION ST,,,
N CAPITOL AV / ALUM ROCK AV,"Alum Rock Ave & N Capitol Ave, San Jose, CA 95127, USA",37.3622559,-121.8354051
W HEDDING ST / RUFF DR,"W Hedding St & Ruff Dr, San Jose, CA 95110, USA",37.3490404,-121.9112649
WILLOW ST / CRESCENT DR,"Willow St & Crescent Dr, San Jose, CA 95125, USA",37.3072176,-121.903857
1100 BLOCK S 1ST ST,"1100 S First St, San Jose, CA 95110, USA",37.3199912,-121.8775945
UNION ST / ALMADEN AV,"Almaden Ave, San Jose, CA, USA",37.3248238,-121.8865884
PARK AV / WOZ WY,"Woz Way & Park Ave, San Jose, CA 95110, USA",37.3293342,-121.8952983
1100 BLOCK BLOSSOM HILL RD,"1100 Blossom Hill Rd, San Jose, CA 95123, USA",37.2507165,-121.875751
COLEMAN RD / MEANDER DR,"Coleman Rd & Meander Dr, San Jose, CA 95120, USA",37.2355564,-121.8901443
7000 BLOCK AVENIDA ROTELLA,"7000 Avenida Rotella, San Jose, CA 95139, USA",37.2342176,-121.7685512
ASHCROFT LN / CROYDON AV,"Croydon Ave & Ashcroft Ln, San Jose, CA 95118, USA",37.2445747,-121.8822679
STORY RD / MCLAUGHLIN AV,"Story Rd & McLaughlin Ave, San Jose, CA 95122, USA",37.3326538,-121.8536289
700 BLOCK STORY RD,"700 Story Rd, San Jose, CA 95122, USA",37.3287605,-121.8593926
1600 BLOCK BURDETTE DR,"1600 Burdette Dr, San Jose, CA 95121, USA",37.3193348,-121.8265004
900 BLOCK STORY RD,"900 Story Rd, San Jose, CA 95122, USA",37.331228,-121.8554701
1500 BLOCK HEARTHSTONE DR,"1500 Hearthstone Dr, San Jose, CA 95122, USA",37.3248873,-121.8528992
CAMDEN AV / KOOSER RD,"Kooser Rd & Camden Ave, San Jose, CA 95118, USA",37.2401483,-121.9037661
KOOSER RD / BLOSSOM HILL RD,"Blossom Hill Rd & Kooser Rd, San Jose, CA 95118, USA",37.2458244,-121.8872416
1600 BLOCK MERRILL DR,"1600 Merrill Dr, San Jose, CA 95124, USA",37.2428251,-121.9058564
5400 BLOCK HARLOW WY,"5400 Harlow Way, San Jose, CA 95124, USA",37.2388795,-121.9156876
BLOSSOM HILL RD / CONISTON WY,"Blossom Hill Rd & Coniston Way, San Jose, CA 95118, USA",37.2469145,-121.8853883
1600 BLOCK N CAPITOL AV,"1600 N Capitol Ave, San Jose, CA 95132, USA",37.39681270000001,-121.8717374
E SAN SALVADOR ST / S 3RD ST,"S Third St & E San Salvador St, San Jose, CA 95113, USA",37.3310182,-121.8839231
1200 BLOCK NOBLE AV,"1200 Noble Ave, San Jose, CA 95132, USA",37.3947532,-121.83579
PENETENCIA CREEK RD/ PIEDMONT RD,"Penitencia Creek Rd & Piedmont Rd, San Jose, CA 95132, USA",37.3904627,-121.842445
3400 BLOCK HALF CROWN LN,"3400 Half Crown Ln, San Jose, CA 95132, USA",37.4137135,-121.854925
3200 BLOCK SIERRA RD,"3200 Sierra Rd, San Jose, CA 95132, USA",37.3985518,-121.8496564
1400 BLOCK ATHENOUR CT,"1400 Athenour Ct, San Jose, CA 95120, USA",37.2296086,-121.8925198
1900 BLOCK TULLY RD,"1900 Tully Rd, San Jose, CA 95122, USA",37.3247241,-121.8217513
200 BLOCK LA PALA DR,"200 La Pala Dr, San Jose, CA 95127, USA",37.3770341,-121.828148
5600 BLOCK COTTLE RD,,,
5700 BLOCK VIA MONTE DR,"5700 Via Monte, San Jose, CA 95118, USA",37.24690890000001,-121.8776545
GALLUP DR / MESA DR,"Gallup Dr & Mesa Dr, San Jose, CA 95118, USA",37.2481812,-121.8774181
N 1ST ST / E ST JAMES ST,"N First St & E St James St, San Jose, CA 95113, USA",37.3390935,-121.8928012
W JULIAN ST / N MARKET ST,,,
S 8TH ST / MARGARET ST,"S 8th St & Margaret St, San Jose, CA 95112, USA",37.32912719999999,-121.8752572
JEANNE AV / FORESTDALE AV,"Forestdale Ave & Jeanne Ave, San Jose, CA 95116, USA",37.3335367,-121.8641557
E WILLIAM ST / S 20TH ST,"S 20th St & E William St, San Jose, CA 95116, USA",37.339123,-121.8656362
N 26TH ST / E JULIAN ST,"N 26th St & E Julian St, San Jose, CA 95116, USA",37.3519256,-121.8698691
700 BLOCK KAUFMANN CT,"700 Kaufmann Ct, San Jose, CA 95116, USA",37.336706,-121.8610743
3900 BLOCK WILLIAMS RD,"3900 Williams Rd, San Jose, CA 95117, USA",37.3080717,-121.9692963
100 BLOCK S 2ND ST,"100 S Second St, San Jose, CA 95113, USA",37.3346985,-121.8875062
1800 BLOCK MATRIX BL,"1800 Matrix Blvd, San Jose, CA 95110, USA",37.3710898,-121.9168857
S 4TH ST / PASEO DE SAN ANTONIO,"S 4th St & Paseo de San Antonio, San Jose, CA 95112, USA",37.3338078,-121.8845384
N 2ND ST / E SANTA CLARA ST,"N 2nd St & E Santa Clara St, San Jose, CA 95113, USA",37.3366859,-121.8895225
900 BLOCK S 1ST ST,"900 S First St, San Jose, CA 95110, USA",37.3227329,-121.8797976
E SAN ANTONIO ST / S SUNSET AV,"E San Antonio St & S Sunset Ave, San Jose, CA 95116, USA",37.35267109999999,-121.8468155
S 31ST ST / SHORTRIDGE AV,"S 31st St & Shortridge Ave, San Jose, CA 95116, USA",37.3495137,-121.8600981
900 BLOCK S 2ND ST,"900 S Second St, San Jose, CA 95112, USA",37.3230984,-121.8789861
DUFFY WY / S KING RD,"Duffy Way & S King Rd, San Jose, CA 95116, USA",37.3489617,-121.8518266
2100 BLOCK ALEXIAN DR,"2100 Alexian Dr, San Jose, CA 95116, USA",37.3590731,-121.8485096
3200 BLOCK IMPALA DR,"3200 Impala Dr, San Jose, CA 95117, USA",37.2957786,-121.9529742
100 BLOCK N KING RD,"100 N King Rd, San Jose, CA 95116, USA",37.3548058,-121.8572008
1700 BLOCK EDUCATIONAL PARK DR,"1700 Educational Park Dr, San Jose, CA 95133, USA",37.36482609999999,-121.857431
N 14TH ST / E TAYLOR ST,"E Taylor St & N 14th St, San Jose, CA 95112, USA",37.3554726,-121.8868188
SUNNY VISTA DR / HEATHERDALE AV,"Heatherdale Ave & Sunny Vista Dr, San Jose, CA 95128, USA",37.3370009,-121.9396062
600 BLOCK S 9TH ST,"600 S 9th St, San Jose, CA 95112, USA",37.3310532,-121.8749618
1600 BLOCK SARATOGA AV,"1600 Saratoga Ave, San Jose, CA 95129, USA",37.2915179,-121.9913419
SB 280 FROM 11TH RP / S 11TH ST,"S 11th St, San Jose, CA 95112, USA",37.332154,-121.8732835
1900 BLOCK ALUM ROCK AV,"1900 Alum Rock Ave, San Jose, CA 95116, USA",37.35455839999999,-121.8517604
4600 BLOCK MERDIAN AV,"4600 Meridian Ave, San Jose, CA 95124, USA",37.2573138,-121.8984487
7100 BLOCK SANTA TERESA BL,"7100 Santa Teresa Blvd, San Jose, CA 95139, USA",37.2262073,-121.7753764
1200 BLOCK GARBO WY,"1200 Garbo Way, San Jose, CA 95117, USA",37.3034144,-121.9765715
3800 BLOCK MONTEREY RD,"3800 Monterey Rd, San Jose, CA 95111, USA",37.2827566,-121.8391587
1700 BLOCK HAMILTON AV,"1700 Hamilton Ave, San Jose, CA 95125, USA",37.2944246,-121.9158401
2400 BLOCK STEVENS CREEK BL,"2400 Stevens Creek Blvd, San Jose, CA 95128, USA",37.3230842,-121.93643
900 BLOCK MCLAUGHLIN AV,"900 McLaughlin Ave, San Jose, CA 95116, USA",37.3366455,-121.8574793
900 BLOCK S DE ANZA BL,"900 S De Anza Blvd, San Jose, CA 95129, USA",37.3122672,-122.0321566
1000 BLOCK LINCOLN AV,"1000 Lincoln Ave, San Jose, CA 95125, USA",37.3125129,-121.9036509
2800 BLOCK QUIMBY RD,"2800 Quimby Rd, San Jose, CA 95148, USA",37.325577,-121.8002018
1100 BLOCK MURPHY AV,"1100 Murphy Ave, San Jose, CA 95131, USA",37.3823268,-121.895078
200 BLOCK MERIDIAN AV,"200 Meridian Ave, San Jose, CA 95126, USA",37.325891,-121.9137973
3200 BLOCK LOMA VERDE DR,"3200 Loma Verde Dr, San Jose, CA 95117, USA",37.2984823,-121.9529547
00 BLOCK N BASCOM AV,"N Bascom Ave, San Jose, CA, USA",37.3311535,-121.9340558
6100 BLOCK SAN IGNACIO AV,"6100 San Ignacio Ave, San Jose, CA 95119, USA",37.2334992,-121.7743645
100 BLOCK E SANTA CLARA ST,"100 E Santa Clara St, San Jose, CA 95113, USA",37.3369927,-121.8880571
200 BLOCK BEIBER DR,"200 Bieber Dr, San Jose, CA 95123, USA",37.2477938,-121.8135755
200 BLOCK WATER ST,"Water St, San Jose, CA 95111, USA",37.2879317,-121.8397967
4000 BLOCK AOMSVILLW HWY S,,,
N JACKSON AV / ALUM ROCK AV,"N Jackson Ave & Alum Rock Ave, San Jose, CA 95116, USA",37.3585942,-121.8435772
1500 BLOCK MCGINNESS AV,"1500 McGinness Ave, San Jose, CA 95127, USA",37.3469517,-121.8200917
3100 BLOCK SILVER CREEK RD,"3100 Silver Creek Rd, San Jose, CA 95121, USA",37.3084511,-121.811881
2200 BLOCK EASTRIDGE LP,"2200 Eastridge Loop, San Jose, CA 95122, USA",37.3256289,-121.8139115
E CAPITOL EX / EASTRIDGE LP,,,
STORY RD / S KING RD,"Story Rd & S King Rd, San Jose, CA 95122, USA",37.3398099,-121.8431206
500 BLOCK W CAPITOL EX,"500 W Capitol Expy, San Jose, CA 95136, USA",37.2738562,-121.8521096
3000 BLOCK MATTIQUE DR,"3000 Mattique Dr, San Jose, CA 95135, USA",37.31354170000001,-121.7809462
100 BLOCK BATCH,"San Jose, CA, USA",37.33874,-121.8852525
1600 BLOCK WILLOW ST,"1600 Willow St, San Jose, CA 95125, USA",37.3036458,-121.9149987
2000 BLOCK RADIO AV,"2000 Radio Ave, San Jose, CA 95125, USA",37.2926519,-121.8918615
1900 BLOCK ALMADEN RD,"1900 Almaden Rd, San Jose, CA 95125, USA",37.3003917,-121.8801861
2400 BLOCK SAMARITAN DR,"2400 Samaritan Dr, San Jose, CA 95124, USA",37.2508377,-121.9443335
W VIRGINIA ST / DELMAS AV,"W Virginia St & Delmas Ave, San Jose, CA 95125, USA",37.3199967,-121.8929413
600 BLOCK JENNINGS DR,"600 Jennings Dr, San Jose, CA 95111, USA",37.2910349,-121.8283944
MONTEREY RD / BRANHAM LANE EAST,,,
ALIVN AV/TULLY RD,"Alvin Ave & Tully Rd, San Jose, CA 95121, USA",37.320249,-121.8288715
1400 BLOCK FRUITDALE AV,"1400 Fruitdale Ave, San Jose, CA 95128, USA",37.3107072,-121.9136514
2600 BLOCK POPLARWOOD WY,"2600 Poplarwood Way, San Jose, CA 95132, USA",37.4071034,-121.8857391
2300 BLOCK PLEASANT ACRES DR,"2300 Pleasant Acres Dr, San Jose, CA 95148, USA",37.3439416,-121.787155
900 BLOCK BLOSSOM HILL RD,"900 Blossom Hill Rd, San Jose, CA 95123, USA",37.24985119999999,-121.8615302
2900 BLOCK DAYLIGHT WY,"2900 Daylight Way, San Jose, CA 95111, USA",37.2899754,-121.8500146
S WHITE RD / CANDLER AV,"Candler Ave & S White Rd, San Jose, CA 95127, USA",37.3514433,-121.8148775
200 BLOCK EL PASEO DE SARATOGA,"200 El Paseo de Saratoga, San Jose, CA 95130, USA",37.2885801,-121.9929855
E CAPITOL EX / ABORN SQ,,,
E CAPITOL EX / SB 101 FROM CAPITOL RP,"Capitol Expy, San Jose, CA, USA",37.2971093,-121.8279063
2600 BLOCK MOZART AV,"2600 Mozart Ave, San Jose, CA 95122, USA",37.3212519,-121.818035
2700 BLOCK OPHELIA AV,"2700 Ophelia Ave, San Jose, CA 95122, USA",37.3178245,-121.8179714
1800 BLOCK MONROVIA DR,"1800 Monrovia Dr, San Jose, CA 95122, USA",37.3137262,-121.8141562
N KING RD / MCKEE RD,"N King Rd & McKee Rd, San Jose, CA 95116, USA",37.3580194,-121.8607292
1500 BLOCK MARBURG WY,"1500 Marburg Way, San Jose, CA 95133, USA",37.356189,-121.86747
2700 BLOCK MOSSWOOD DR,"2700 Mosswood Dr, San Jose, CA 95132, USA",37.3963193,-121.8617937
100 BLOCK GOULARTE WY,"100 Goularte Way, San Jose, CA 95116, USA",37.3548268,-121.8438782
